lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
AANG1,Atlanta,33.819444444444,-84.407777777778,0.05,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
DERT1,DEROSSETT,35.963055555556,-85.281388888889,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
LBRG1,Lumber City,31.918333333333,-82.673888888889,0.02,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
NOSG1,Powder Springs,33.859166666667,-84.652777777778,0.16,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
PKST1,PARKSVILLE,35.095,-84.649166666667,0.02,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:30:00Z,1596211390000,2.44,0.8,DPR * 1.0=0.02
DOGG1,Fairplay,33.653888888889,-84.821111111111,0.16,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
OHCG1,Hamilton,32.6883333333333,-84.8566666666667,0.17,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
NDPT1,NORMANDY DAM,35.465277777778,-86.247222222222,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
PNFG1,Penfield,33.721111111111,-83.295555555556,0.03,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
CLUG1,Carsonville Hwy. 19,32.721388888889,-84.2325,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
MNTG1,Montezuma,32.293055555556,-84.043611111111,0.08,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
CLBT1,Columbia,35.663611111111,-87.033333333333,0.04,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
CLAT1,Celina,36.554166666667,-85.514444444444,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
CCFG1,Flintstone,34.9572,-85.3344,0.04,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
UPAG1,Fort Benning,32.413333333333,-84.82,0.21,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
NBSG1,Big Shanty / Kennesaw,34.0218,-84.5529,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
NPBG1,Atlanta,33.831388888889,-84.342777777778,0.02,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
CVLG1,Allatoona Dam,34.162777777778,-84.727777777778,0.06,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
WTPG1,West Point,32.886111111111,-85.182222222222,0.93,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
RKMG1,Rockmart,33.998611111111,-85.0525,0.17,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
PBCV2,POUND RIVER BELOW COLD CAMP CREEK NEAR POUND,37.121944444444,-82.598611111111,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,1504266100000,2.32,0.4,None
SMAG1,Smyrna,33.893611111111,-84.457777777778,0.03,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
LMCG1,Below Lake McIntosh,33.360277777778,-84.586388888889,0.09,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
CATG1,Carters,34.603611111111,-84.695555555556,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
REDG1,Reidsville 3W,32.078333333333,-82.1775,0.59,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
MYRG1,Conyers below Milstead,33.666944444444,-83.938055555556,0.03,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
GFNG1,Griffin,33.271666666667,-84.236388888889,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
SWOG1,Swainsboro,32.440277777778,-82.382222222222,0.07,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
RCDG1,Dallas,34.078972,-84.854444,0.11,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
SNKG1,Whitesburg,33.529444444444,-84.928333333333,0.14,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
DLCG1,Panthersville,33.705555555556,-84.2925,0.04,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
RTMG1,Rome US Hwy. 27,34.260555555556,-85.170833333333,0.22,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
NRVG1,Franklin,33.235277777778,-84.987777777778,0.16,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
CCDG1,Cedartown,34.061388888889,-85.313055555556,0.14,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
VNPG1,Vinings/Sandy Springs,33.902222,-84.4416667,0.02,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
BVLG1,Byromville,32.195555555556,-83.902222222222,0.14,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
ASTG1,Austell 6S,33.720833333333,-84.615,0.17,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
FBNG1,Campbellton,33.656666666667,-84.673611111111,0.14,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
WCSG1,Southwest Fayetteville,33.4213888888889,-84.4927777777778,0.1,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
