lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
GEOT1,GEORGETOWN,35.3,-84.95,0.8,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1595211421000,9999,9999,None
BYGT1,BYRDSTOWN,36.561111111111,-85.072222222222,0.04,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
SYVN7,SYLVA TVA RAIN,35.373055555556,-83.241388888889,0.56,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
HLX,TWIN COUNTY APT,36.7661111111111,-80.8238888888889,0.08,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
MLRN7,MILLS RIVER,35.385555555556,-82.560833333333,1.31,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
STPV2,ROUTE 640/PIGG R. IFLOWS,36.967777777778,-80.094166666667,0.51,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BFSV2,Belfast,36.9833333333333,-81.8833333333333,0.08,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:55:00Z,1590279200000,9999,9999,None
TCLG1,TALLULAH RVR 10 W CLAYTON,34.890277777778,-83.530555555556,0.61,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
HWEG1,Hiawassee,34.883888888889,-83.721666666667,0.41,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
CTNN7,CANTON,35.548333333333,-82.828888888889,0.31,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
DAN,DANVILLE ASOS,36.5727777777778,-79.3361111111111,0.01,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
CKEN7,CHEROKEE 8 NE,35.570555555556,-83.242777777778,0.53,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
CRWV2,CRAWFORDS RIDGE IFLOWS,37.320833333333,-80.273055555556,0.16,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
LWB,LEWISBURG AWOS,37.858333333333,-80.399722222222,0.24,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
