lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
RDFV2,RADFORD,37.141666666667,-80.569444444444,0.03,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
NATV2,NATURAL TUNNEL VA,36.712777777778,-82.7425,0.16,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1590252100000,9999,9999,None
PENT1,Penitentiary Branch,36.439166666667,-85.595,0.16,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
CKYT1,Chuckey,36.219166666667,-82.702777777778,0.08,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1585235810000,9999,9999,None
GEOT1,GEORGETOWN,35.3,-84.95,0.8,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1595211421000,9999,9999,None
DLPV2,DUNLAP CREEK DCP,37.8027777777778,-80.0469444444444,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
WKHV2,WALKER HOUSE IFLOWS,36.836111111111,-81.578611111111,0.12,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
DISV2,DISMAL,37.247222,-80.854722,0.08,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
WATN7,WATERVILLE,35.774166666667,-83.098055555556,0.01,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
SARG1,Sardis 4SW,32.9375,-81.815555555556,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
WWLT1,WHITWELL,35.208611111111,-85.519444444444,0.09,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1597234100000,9999,9999,None
APLV2,APPALACHIA,36.898333333333,-82.788333333333,0.1,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
MTCG1,MOUNTAIN CITY 2 N,34.929444444444,-83.395833333333,0.1,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
