lid,lat,lon,name,cwa,elev,obtype
SPTT1,35.011,-85.698,South Pittsburg,MRX,581,DCP
SPWT1,36.45,-83.883,SPEEDWELL,MRX,0,Mesonet
SRB,36.06,-85.53,UPPER CUMBERLAND REGIONAL AIRPORT,OHX,0,ASOS/AWOS
SRCS1,34.52,-82.157,GRAY COURT 7 SW,GSP,547,DCP
SRCT1,35.017,-87.198,MINOR HILL,OHX,0,DCP
SRKK2,38.251,-83.566,Sharkey,JKL,0,DCP
SRNT1,35.912,-86.558,Smyrna,OHX,550,COOP
SRSK2,37.375,-82.784,State Route 7 near Price,JKL,804,Mesonet
SRTN7,35.276,-80.826,#03 STARITA RD,GSP,679,Mesonet
SRVV2,36.751,-79.98,SMITH RIVER SG IFLOWS,RNK,745,Mesonet
SSPN7,35.583,-81.636,SOUTH MTNS STATE PARK,GSP,2560,Mesonet
SSPS1,34.606,-82.73,SANDY SPRINGS 2 NE,GSP,820,Mesonet
SSTK2,37.117,-84.617,Somerset,JKL,1020,DCP
STAA1,34.43,-86.68,Florette AAMU SCAN Stanley Farm,HUN,820,DCP
STAK2,37.51,-83.53,STANTON 2W,JKL,720,Mesonet
STAN7,35.806,-80.871,STATESVILLE,GSP,0,DCP
STAS1,34.413,-82.691,STARR 2 NE,GSP,0,Mesonet
STAT1,36.031,-86.125,Statesville,OHX,723,COOP
STBA1,34.174,-86.813,Saint Bernard,HUN,800,Mesonet
STCG1,33.826,-84.165,Stone Mountain,FFC,0,DCP
STCN7,36.07,-81.799,STACKROCK CREEK RAWS LINVILLE,GSP,2900,DCP
STEG1,34.644,-83.733,Saute,FFC,1400,Mesonet
STEN7,35.24,-80.868,STEWART CK @ STATE ST #6526,GSP,630.5,Mesonet
STFV2,37.27,-80.713,STAFFORDSVILLE COOP,RNK,1950,Mesonet
STGN7,35.336,-83.692,STECOAH GAP,GSP,3165,Mesonet
STHG1,33.679,-84.358,Hapeville,FFC,0,DCP
STLG1,32.433,-82.217,Stillmore,FFC,260,COOP
STLK2,37.767,-83.489,Campton,JKL,1140,Mesonet
STLT1,36.018,-86.121,Statesville,OHX,723,DCP
STLV2,36.75,-82.883,STICKLEYVILLE,MRX,0,Mesonet
STMN7,35.342,-84.029,STRATTON MEADOWS,GSP,4630,DCP
STMTN,33.779,-84.211,Pine Lake,FFC,921,Mesonet
STNK2,36.776,-83.924,Barbourville,JKL,1785,Mesonet
STNMN,33.81,-84.14,Stone Mountain (Top),FFC,0,Mesonet
STNMO,33.81,-84.15,Stone Mountain Park,FFC,0,Mesonet
STOW2,37.283,-81.207,STONY RIDGE,RNK,3285,Mesonet
STPV2,36.968,-80.094,ROUTE 640/PIGG R. IFLOWS,RNK,1628,Mesonet
STQK2,37.983,-83.633,Frenchburg,JKL,1240,Mesonet
STRG1,31.26,-81.61,Sterling,FFC,0,Mesonet
STRK2,36.667,-84.483,Stearns,JKL,1220,DCP
STRN7,35.831,-82.184,CELO,GSP,2658,DCP
STRS1,34.383,-82.578,ROCKY RVR NR STARR 7 NE,GSP,570,DCP
STRV2,37.191,-81.526,STONY RIDGE IFLOWS,RNK,3200,Mesonet
STSN7,35.105,-80.954,STEELE CK @ CAROWINDS BLVD #6519,GSP,561.8,Mesonet
STUV2,36.636,-80.251,STUART COOP,RNK,1375,Mesonet
STVK2,37.562,-82.641,Stanville,JKL,1400,Mesonet
STVN7,35.81,-80.881,STATESVILLE 2 NNE,GSP,950,Mesonet
STVV2,36.887,-81.767,SALTVILLE PRECIP (TVA),RNK,,DCP
STWG1,33.941,-84.108,Lilburn,FFC,850,DCP
STWK2,38.109,-83.897,Mount Sterling,JKL,1300,Mesonet
STWT1,36.19,-85.905,STONEWALL,OHX,0,DCP
SUGS1,35.006,-80.903,SUGAR CRK NR FT MILL,GSP,600,DCP
SUGV2,37.239,-80.042,SUGARLOAF MTN IFLOWS,RNK,1520,Mesonet
SUMG1,34.466,-85.336,Summerville,FFC,613.5,DCP
SUNT1,36.249,-84.697,SUNBRIGHT,MRX,0,Mesonet
SUNV2,38.19,-79.812,BACK CREEK DCP AT SUNRISE,RNK,1969,DCP
SUPW2,37.798,-80.478,WHITE SULFUR SPGS DCP,RNK,,DCP
SUWG1,34.05,-83.983,Suwanee,FFC,1070,COOP
SVCT1,36.072,-86.733,Blackman Road - Nashville,OHX,0,DCP
SVEV2,37.797,-78.492,SCOTTSVILLE,RNK,253.2,DCP
SVH,35.765,-80.954,STATESVILLE REG AP,GSP,968,ASOS/AWOS
SVLT1,36.628,-81.939,SHADY VALLEY,MRX,2810,Mesonet
SVNS1,32.1,-81.08,Savannah,FFC,0,Mesonet
SVNT1,35.15,-88.317,Savannah,OHX,420,COOP
SVRT1,35.859,-83.547,SEVIERVILLE,MRX,930,Mesonet
SVVT1,35.867,-83.533,SEVIERVILLE,MRX,0,Mesonet
SWAG1,34.096,-84.08,Suwanee,FFC,985,DCP
SWCN7,35.545,-82.513,SWEETEN CREEK,GSP,2100,Mesonet
SWEG1,34.032,-84.089,Suwanee,FFC,909.9,DCP
SWET1,35.583,-84.467,SWEETWATER,MRX,0,Mesonet
SWNG1,32.583,-82.367,Swainsboro,FFC,325,COOP
SWNT1,35.203,-85.917,Sewanee,HUN,0,Mesonet
SWOG1,32.44,-82.382,Swainsboro,FFC,174,DCP
SXNK2,36.634,-84.112,Saxton,JKL,950,Mesonet
SXRG1,34.9,-85.272,Chickamauga,FFC,740,UNKNOWN
SXTK2,36.634,-84.112,Saxton,JKL,967,DCP
SYI,35.56,-86.44,SHELBYVILLE BOMAR FIELD,OHX,0,ASOS/AWOS
SYLN7,35.342,-83.246,SYLVA,GSP,2140,Mesonet
SYRV2,36.967,-82.4,COEBURN,MRX,0,Mesonet
SYVN7,35.373,-83.241,SYLVA TVA RAIN,GSP,2057,DCP
TAFT1,35.009,-86.708,Jones Branch at Taft,HUN,0,DCP
TALG1,32.683,-84.55,Talbotton,FFC,730,COOP
TAMS1,34.847,-83.072,TAMASSEE WELL,GSP,1080,DCP
TAPN7,35.447,-83.939,CHEOAH RIVER NEAR BEARPEN GAP NEAR TAPOCO,GSP,1120,DCP
TATN7,36.283,-81.717,TATER HILL PRECIPITATION,RNK,4110,DCP
TAWT1,36.467,-83.6,TAZEWELL,TN,MRX,UNKNOWN
TAYG1,34.083,-84.983,Taylorsville,FFC,710,COOP
TAYN7,35.912,-81.137,TAYLORSVILLE RAWS,GSP,1155,DCP
TAZT1,36.425,-83.398,Tazewell TN,MRX,1061,UNKNOWN
TBCN7,35.169,-80.831,TRIB TO BRIAR CREEK @ COLONY RD #6545,GSP,610,Mesonet
TCCG1,34.765,-84.074,Suches 6NW,FFC,0,DCP
TCLG1,34.89,-83.531,TALLULAH RVR 10 W CLAYTON,GSP,1868.9,DCP
TDTT1,35.781,-84.253,LENOIR CITY,MRX,0,Mesonet
TEGS1,35.033,-81.035,#38 TEGA CAY,GSP,600,Mesonet
TELT1,35.367,-84.3,TELLICO PLAINS,MRX,910,Mesonet
TENT1,35.633,-84.667,TEN MILE,MRX,0,Mesonet
TERG1,34.765,-83.415,MATHIS-TERRORA DAM,GSP,0,Mesonet
TERT1,35.641,-83.691,ELKMONT,MRX,0,Mesonet
TEST1,34.847,-82.407,TEST GREENVILLE,GSP,909,DCP
TEST2,35.676,-82.579,TEST SITE ASHEVILLE 2.0,GSP,1950,DCP
TEST3,35.628,-81.322,TEST SITE LOWELL,GSP,603.1,DCP
TEST4,35.299,-82.624,TEST BLANTYRE,GSP,2150,DCP
TEXG1,33.227,-85.221,Texas,FFC,979,DCP
TFDT1,35.198,-86.273,Tims Ford Dam Precip,HUN,0,DCP
TFLG1,34.732,-83.376,TALLULAH FALLS PWR HOUSE,GSP,940,DCP
TFTCN,31.45,-83.52,Tifton,FFC,0,Mesonet
THA,35.38,-86.25,TULLAHOMA WILLIAM NORTHERN FIELD,OHX,0,ASOS/AWOS
THDN7,35.195,-83.151,THORPE DAM IFLOWS,GSP,3510,DCP
THLT1,36.295,-83.588,THORN HILL,MRX,0,Mesonet
THMSV,30.81,-84.01,Thomasville,FFC,0,Mesonet
THNSV,30.84,-83.97,Thomasville,FFC,0,Mesonet
THON7,35.149,-80.642,#67 THOMPSON FARM,GSP,690,Mesonet
THOT1,35.774,-86.923,Thompson Station,OHX,760,COOP
THPN7,35.233,-83.133,THORPE DAM POWERHOUSE,GSP,3391,Mesonet
THSG1,32.867,-84.317,Thomaston,FFC,670,COOP
THSON,33.47,-82.51,Thomson,FFC,0,Mesonet
THYS1,35.061,-81.715,THICKETTY CREEK NR GAFFNEY,GSP,610,DCP
TIGG1,34.793,-83.541,BURTON DAM,GSP,1866.6,Mesonet
TIKV2,37.467,-79.931,TINKER CREEK IFLOWS,RNK,1570,Mesonet
TKGN7,35.231,-83.126,TUCKASEGEE,NC,GSP,UNKNOWN
TKRG1,34.523,-84.611,Hinton,FFC,893.7,DCP
TKRN7,35.288,-83.144,TUCKASEGEE @ SR 1172,GSP,2120,DCP
TKSN7,35.428,-83.448,BRYSON CITY,GSP,1714,DCP
TKSV2,37.319,-79.93,TINKER CREEK S. IFLOWS SG/RG,RNK,984,Mesonet
TLAG1,33.741,-85.336,Tallapoosa,FFC,0,DCP
