lid,lat,lon,temp,validtime
TSQN7,35.0747,-84.1267,78,2018-06-05 22:05:00
TAYN7,35.911666666667,-81.136666666667,81,2018-06-05 22:04:00
MDWG1,31.78,-81.44,84,2018-06-05 22:04:00
DARN7,35.350555555556,-82.778611111111,73,2018-06-05 22:04:00
HRDG1,33.010277777778,-83.207222222222,84,2018-06-05 22:03:00
PLAG1,32.110555555556,-84.184166666667,84,2018-06-05 22:03:00
BOLG1,33.009722222222,-83.716388888889,81,2018-06-05 22:03:00
LOUG1,32.975,-82.352777777778,83,2018-06-05 22:03:00
WHIS1,34.616666666667,-81.583333333333,82,2018-06-05 22:03:00
MTFG1,32.3911111111111,-82.0372222222222,85,2018-06-05 22:03:00
MRAG1,32.096388888889,-82.884166666667,84,2018-06-05 22:03:00
NNAG1,33.365277777778,-84.859444444444,78,2018-06-05 22:02:00
DSVG1,34.3763888888889,-84.06,80,2018-06-05 22:02:00
EJAG1,34.758888888889,-84.766388888889,83,2018-06-05 22:02:00
DLSG1,33.942777777778,-84.791944444444,80,2018-06-05 22:02:00
AFRG1,33.896666666667,-83.365555555556,79,2018-06-05 22:02:00
WSNG1,33.7805555555556,-82.8161111111111,80,2018-06-05 22:02:00
LKRV2,37.986388888889,-79.759444444444,72,2018-06-05 22:01:00
AND,34.495,-82.709166666667,80,2018-06-05 22:00:00
LQK,34.81,-82.702777777778,80,2018-06-05 22:00:00
4A9,34.4736111111111,-85.7213888888889,79,2018-06-05 22:00:00
HSP,37.9513888888889,-79.8341666666667,65,2018-06-05 22:00:00
MKJ,36.8947222222222,-81.35,75,2018-06-05 22:00:00
HLX,36.7661111111111,-80.8238888888889,75,2018-06-05 22:00:00
MDQ,34.86,-86.56,83,2018-06-05 22:00:00
MRC,35.549722222222,-87.18,82,2018-06-05 22:00:00
BGF,35.178333333333,-86.066666666667,81,2018-06-05 22:00:00
1A5,35.2225,-83.418888888889,80,2018-06-05 22:00:00
PSK,37.137222222222,-80.678611111111,78,2018-06-05 22:00:00
8A0,34.2291666666667,-86.2558333333333,79,2018-06-05 22:00:00
RUQ,35.645833333333,-80.520277777778,79,2018-06-05 22:00:00
RNC,35.7,-85.84,81,2018-06-05 22:00:00
MRN,35.821388888889,-81.610833333333,83,2018-06-05 22:00:00
MWK,36.459722222222,-80.553055555556,80,2018-06-05 22:00:00
SVH,35.765,-80.953888888889,80,2018-06-05 22:00:00
FYM,35.06,-86.57,81,2018-06-05 22:00:00
MTV,36.630555555556,-80.018611111111,80,2018-06-05 22:00:00
LWB,37.858333333333,-80.399722222222,71,2018-06-05 22:00:00
SRB,36.06,-85.53,81,2018-06-05 22:00:00
BCB,37.2075,-80.408333333333,77,2018-06-05 22:00:00
SYI,35.56,-86.439722222222,81,2018-06-05 22:00:00
8A3,36.409722222222,-85.31,77,2018-06-05 22:00:00
LUG,35.509722222222,-86.799722222222,81,2018-06-05 22:00:00
GYH,34.758333333333,-82.376388888889,82,2018-06-05 22:00:00
CSG,32.516111111111,-84.942222222222,82,2018-06-05 22:00:00
FQD,35.428333333333,-81.935,81,2018-06-05 22:00:00
DNL,33.4663888888889,-82.0391666666667,83,2018-06-05 22:00:00
BLF,37.3,-81.216667,72,2018-06-05 22:00:00
